video_url,caption,hashtags,likes,comments_count,share_count,username,upload_date,thumbnail_url,bio,email,instagram_link,youtube_link,twitter_link,other_links
https://www.tiktok.com/@sexyhotasian/video/7565062657066290440,#asiangirl #cute🥰 #absolutelygorgeous😍 #beautiful  #perfectgirlfriend❤️ ,#asiangirl;#cute🥰;#absolutelygorgeous😍;#beautiful;#perfectgirlfriend❤️,4720,288,838,sexyhotasian,1761378415,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-p-0037/oQNIDfcoDQAItPfHQ6AB5fBz4AE3cCDXRIUjxF~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=U9eMOdshp%2BAaGG0Jhx4xPTtjCkY%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,,,,,
https://www.tiktok.com/@ilab_bobaa/video/7514088247899852074,#fyp #asian #viet #fy ,#fyp;#asian;#viet;#fy,44000,363,4219,ilab_bobaa,1749510040,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/oI05HA1u7pBm3iI01IifBAw2tZdSOmIcIsB4Cq~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=PqyBH2dnSWbV%2BIWQufxH91n95zE%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,,,,,
https://www.tiktok.com/@xo_bunnykiss/video/7543011558390091030,getting ready to dream cute 🫶#vietbunny #fypppシ #asianbabygirl,#vietbunny;#fyppp;#asianbabygirl,9400,125,1320,xo_bunnykiss,1756516200,https://p16-common-sign.tiktokcdn-us.com/tos-no1a-p-0037-no/osJuio7eEtziAFICRAkEAgFKyLArCSD3CIIfVh~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=zO5fSwsaZMzqDMo6PqxtT2%2BD6aU%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,,,,,
https://www.tiktok.com/@asianbeautiegirls/video/7488457157285793046,#fyppppppppppppppppppppppp #foryoupage❤️❤️ #foryou #china #tiktok #asiangirl #fypシ #viral #foryoupage #chinese #fyp ,#fyppppppppppppppppppppppp;#foryoupage❤️❤️;#foryou;#china;#tiktok;#asiangirl;#fypシ;#viral;#foryoupage;#chinese;#fyp,19100,1532,699,asianbeautiegirls,1743542303,https://p16-common-sign.tiktokcdn-us.com/tos-no1a-p-0037-no/oU0j92ErzS4c8sIBIjfdW2AIDfANFLCRbDfPKQ~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=5VV8dA8LIr44OY%2FkAfA6JSjCTYo%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,,,,,
https://www.tiktok.com/@shawty_centralrn/video/7565418384217656598,Asian baddie hitting the Hip Shaking Trend 🔥 #ShawtyCentral #fyp #asian #baddie #sexy #dancing #trending #curvy ,#shawtycentral;#fyp;#asian;#baddie;#sexy;#dancing;#trending;#curvy,2749,27,500,shawty_centralrn,1761461244,https://p16-common-sign.tiktokcdn-us.com/tos-no1a-p-0037-no/o4ofMBQGjGh8I2gLIsOwJAQ6RWS7e9vA5Ggffv~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=mirBqU8EhWIn83zatjgiZjsFhT8%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,,,,,,
https://www.tiktok.com/@baddiiesfyp/video/7560678442010709271,Asian baddie fake body !!!#asian #baddie #asianbaddie #fyp #viral ,#asian;#baddie;#asianbaddie;#fyp;#viral,46200,541,6856,baddiiesfyp,1760357632,https://p16-common-sign.tiktokcdn-us.com/tos-no1a-p-0037-no/okxXe8fe2HBcCAAesZYYaiMxMp5BZANzZfgAJs~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=YlzEIMoZpfBUvLE4I83rr1lxAdE%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,,,,,,
https://www.tiktok.com/@mmvidufgzv8/video/7536078493671542034,#trend #dancer #Asian #dance ,#trend;#dancer;#asian;#dance,6967,140,517,mmvidufgzv8,1754630010,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-p-0037/oAI0PxhAoeAWoQwOSFjEzK8JA7MeDEAARAeRRs~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=%2BDkRj3UJei9BMyKSi8Xso%2B7WMUU%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,,,,,,
https://www.tiktok.com/@shinsauce/video/7531996721027583262,Who wants banana #fyp #asian #muscles ,#fyp;#asian;#muscles,145800,1733,44500,shinsauce,1753679667,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/ocAAHilYOQMzBB5AIf7B4GC7AKiliCAIx0lAE4~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=z5yCY8rfOALkJiqvRLk%2B20AJfe4%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,,,,,,
https://www.tiktok.com/@mionezhao/video/7474241217551813895,#jokes #xmm #asian #abg #fyp #asian #sgtiktok #cbaxyz #chinese ,#jokes;#xmm;#asian;#abg;#fyp;#sgtiktok;#cbaxyz;#chinese,746500,4565,56300,mionezhao,1740232398,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-p-0037/osw0rdwODQVZizuZAsFBUfRjUBfLnMBIEAgNEu~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=1sya%2BJqHiMCP%2BPC1rlu1BsGRAdk%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,,,,,
https://www.tiktok.com/@mxckeymeijii8/video/7542643909000989969,Floating on sum beer - - #bikini #abg #baddie #asian #sexy,#bikini;#abg;#baddie;#asian;#sexy,4015,32,766,mxckeymeijii8,1756158653,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-p-0037/oYSWGespIIAogXtaLKRALCHZg4jbAy0cFDee8n~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=Uw25Nkq3YjSmH5VdNKZ0zOJ5hC4%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,,,,,
https://www.tiktok.com/@veeliette/video/7530438789622254853,FR!! #06 #asian ,#06;#asian,349300,923,29200,veeliette,1753316916,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/oohAM8e3IQfSgGfNgHRgXC5FQjjvAvw4oCSn0U~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=EYLg%2FuXIKCgFccUWRKgmeLJHc1c%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,,,,,,
https://www.tiktok.com/@imthebestyoudabes/video/7568228201546190093,korean bbq #fyp #asian,#fyp;#asian,8891,321,967,imthebestyoudabes,1762115466,https://p19-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/o8qIAIjCjJXISAveH3eDE34WfHGGICLJkyvHhg~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=qmfk%2BaAx1QmcxEHJaDQJC9XzmN8%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,,,,,,
https://www.tiktok.com/@baddies.com67/video/7531900335980334391,Baddies #asians #viral #fine ,#asians;#viral;#fine,1282,25,194,baddies.com67,1753657238,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/o8jC8LHPCeneisDf6RYQAEkGHGIIIcZEGVrIIA~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=NIWAiDlMAiKVB59U0ig4DjZ%2FH0w%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,,,,,,
https://www.tiktok.com/@katherinehuang/video/7567455044904275222,#asian #viral #dancechallenge ,#asian;#viral;#dancechallenge,7081,39,1026,katherinehuang,1761935432,https://p16-common-sign.tiktokcdn-us.com/tos-no1a-p-0037-no/oUTLFvfDkEl3RYpEiAIeABTQFCEAzEBAFAAEIg~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=m9mcSOoEXEnPPwOnJ4VwhB%2FYAno%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,,,,,
https://www.tiktok.com/@aasian/video/7518136120094297357,😍😍😍  #traveltiktok #mtfuji #tokyotravel #travel ,#traveltiktok;#mtfuji;#tokyotravel;#travel,3074,46,378,aasian,1750452487,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/owADEQyVpCoIfBcSwBDcfIDLSVyREhFgXR0EEZ~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=l1fkiTkfO6%2FdBkRvj7ns2XH5e6o%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,,,,,,
https://www.tiktok.com/@charliethericeeater/video/7564628162634730765,#maxgoofy #asian #wlw #masc ,#maxgoofy;#asian;#wlw;#masc,1300000,7746,107800,charliethericeeater,1761277280,https://p19-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/oUn9VBcIoXDUMSE6BxiigqBjEfARG8DIEoflSX~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=zKgz%2FJkw0m%2BbCyTSx%2B9nE9hJ2ho%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,,,,,,
https://www.tiktok.com/@paws4miaa/video/7570239135944953143,1 || #asianboys #xyzbca #fyp #asians #fypシ ,#asianboys;#xyzbca;#fyp;#asians;#fypシ,67900,741,7183,paws4miaa,1762583716,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/ooAHBKfOW5SIeCWrc4GcLIXwkH5jIdLAqmeIpG~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=Gu9aYf7KvtyrnSnmF84L71O%2BhGk%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,,,,,
https://www.tiktok.com/@etpftb/video/7574235380472368415,Live laugh love asians #fyp #asian #baddies #relatable #lebron ,#fyp;#asian;#baddies;#relatable;#lebron,6843,74,883,etpftb,1763514107,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/ogpPaKQv2I0IVWiRVREiEhQ0d50CkA5TBBAFS~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=WvNz4wv84tPcpHlUUGYyj1CS8ac%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,"5000?
dedicated",,,,,
https://www.tiktok.com/@venicewong4u/video/7568316951068544286,Heh  #asiangirl #asian #relatable #real #fypシ゚viral ,#asiangirl;#asian;#relatable;#real;#fypシ゚viral,10100,256,210,venicewong4u,1762136123,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oM4QcIAEBCEOCcDpA9BIRE2FJfcrQlEVEDHBAe~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=3oAXVsKyPUlbNN5LjvSNIsTX9kg%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,"Actor/Artist
Pr: 888venicew@gmail.com

for fun",888venicew@gmail.com,,,,
https://www.tiktok.com/@sebbn68m/video/7571569517378293006,Forget about your boyfriend. #fyp #asian #xyzbca #bayarea #08 ,#fyp;#asian;#xyzbca;#bayarea;#08,877,13,43,sebbn68m,1762893452,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/okhvUcnoXBlRTNaLiI4DWyanBEIPVgSG1iRAO~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=UYOPtY5mHnv8Tte2vCN7Z5psS74%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,,,,,,
https://www.tiktok.com/@v4mpx.o/video/7562866939349962006,@Liv #xyzabc #hi #viraliza #asian #yourpage ,#xyzabc;#hi;#viraliza;#asian;#yourpage,44800,289,13100,v4mpx.o,1760867181,https://p16-common-sign.tiktokcdn-us.com/tos-no1a-p-0037-no/o8sLoFQvFCDqgmAwQ8HEBQd0GkF2R9ME2eMdfY~tplv-tiktokx-origin.image?dr=9636&x-expires=1763960400&x-signature=ngitgt9T0xHQhDAk3utzcr44GNU%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,,,,,
